kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length3;100000;5;128;16;0.086336;50.3361;1945814
no-run-length3;100000;5;256;16;0.0488;89.0536;1945814
no-run-length3;100000;5;512;16;0.0288;150.896;1945814
no-run-length3;100000;5;8;32;0.68608;6.33427;1945814
no-run-length3;100000;5;16;32;0.346048;12.5584;1945814
no-run-length3;100000;5;32;32;0.174848;24.8548;1945814
no-run-length3;100000;5;64;32;0.090976;47.7688;1945814
no-run-length3;100000;5;128;32;0.050816;85.5206;1945814
no-run-length3;100000;5;256;32;0.030208;143.863;1945814
no-run-length3;100000;5;512;32;0.02048;212.198;1945814
no-run-length3;100000;5;8;64;0.346176;12.5538;1945814
no-run-length3;100000;5;16;64;0.176352;24.6428;1945814
no-run-length3;100000;5;32;64;0.089632;48.4851;1945814
no-run-length3;100000;5;64;64;0.049024;88.6467;1945814
no-run-length3;100000;5;128;64;0.028736;151.232;1945814
no-run-length3;100000;5;256;64;0.019072;227.864;1945814
no-run-length3;100000;5;512;64;0.016384;265.247;1945814
no-run-length3;100000;5;8;128;0.174528;24.9004;1945814
no-run-length3;100000;5;16;128;0.090624;47.9543;1945814
no-run-length3;100000;5;32;128;0.04912;88.4734;1945814
no-run-length3;100000;5;64;128;0.028672;151.57;1945814
no-run-length3;100000;5;128;128;0.020032;216.944;1945814
no-run-length3;100000;5;256;128;0.016352;265.767;1945814
no-run-length3;100000;5;512;128;0.014656;296.521;1945814
no-run-length3;100000;5;8;256;0.096256;45.1485;1945814
no-run-length3;100000;5;16;256;0.052128;83.3681;1945814
no-run-length3;100000;5;32;256;0.029536;147.136;1945814
no-run-length3;100000;5;64;256;0.02048;212.198;1945814
no-run-length3;100000;5;128;256;0.015072;288.337;1945814
no-run-length3;100000;5;256;256;0.0144;301.793;1945814
no-run-length3;100000;5;512;256;0.01456;298.476;1945814
no-run-length3;100000;5;8;512;0.0616;70.5489;1945814
no-run-length3;100000;5;16;512;0.034752;125.052;1945814
no-run-length3;100000;5;32;512;0.02176;199.716;1945814
no-run-length3;100000;5;64;512;0.016448;264.215;1945814
no-run-length3;100000;5;128;512;0.016352;265.767;1945814
no-run-length3;100000;5;256;512;0.01504;288.95;1945814
no-run-length3;100000;5;512;512;0.014752;294.592;1945814
no-run-length3;100000;5;8;1024;0.051808;83.8831;1945814
no-run-length3;100000;5;16;1024;0.031872;136.352;1945814
no-run-length3;100000;5;32;1024;0.020544;211.537;1945814
no-run-length3;100000;5;64;1024;0.016384;265.247;1945814
no-run-length3;100000;5;128;1024;0.018432;235.775;1945814
no-run-length3;100000;5;256;1024;0.0184;236.186;1945814
no-run-length3;100000;5;512;1024;0.018368;236.597;1945814
no-run-length3;100000;6;8;16;1.85958;2.33181;1936201
no-run-length3;100000;6;16;16;0.65152;6.65551;1936201
no-run-length3;100000;6;32;16;0.327872;13.2253;1936201
no-run-length3;100000;6;64;16;0.167936;25.8206;1936201
no-run-length3;100000;6;128;16;0.08768;49.4548;1936201
no-run-length3;100000;6;256;16;0.048896;88.6821;1936201
no-run-length3;100000;6;512;16;0.030304;143.09;1936201
no-run-length3;100000;6;8;32;0.69216;6.26474;1936201
no-run-length3;100000;6;16;32;0.350144;12.3841;1936201
no-run-length3;100000;6;32;32;0.179744;24.1243;1936201
no-run-length3;100000;6;64;32;0.093088;46.5817;1936201
no-run-length3;100000;6;128;32;0.052448;82.6762;1936201
no-run-length3;100000;6;256;32;0.03072;141.152;1936201
no-run-length3;100000;6;512;32;0.019328;224.348;1936201
no-run-length3;100000;6;8;64;0.351648;12.3311;1936201
