kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;5;512;16;0.157664;26.6263;1798010
run-length3;100000;5;8;32;4.31354;0.973218;1798010
run-length3;100000;5;16;32;2.1559;1.94722;1798010
run-length3;100000;5;32;32;1.08954;3.85303;1798010
run-length3;100000;5;64;32;0.550912;7.62011;1798010
run-length3;100000;5;128;32;0.29296;14.3296;1798010
run-length3;100000;5;256;32;0.1536;27.3308;1798010
run-length3;100000;5;512;32;0.091808;45.726;1798010
run-length3;100000;5;8;64;2.08106;2.01725;1798010
run-length3;100000;5;16;64;1.05261;3.9882;1798010
run-length3;100000;5;32;64;0.528736;7.93971;1798010
run-length3;100000;5;64;64;0.280864;14.9468;1798010
run-length3;100000;5;128;64;0.158464;26.4919;1798010
run-length3;100000;5;256;64;0.093408;44.9427;1798010
run-length3;100000;5;512;64;0.061952;67.7623;1798010
run-length3;100000;5;8;128;1.08237;3.87854;1798010
run-length3;100000;5;16;128;0.550272;7.62897;1798010
run-length3;100000;5;32;128;0.282688;14.8503;1798010
run-length3;100000;5;64;128;0.155968;26.9158;1798010
run-length3;100000;5;128;128;0.09216;45.5513;1798010
run-length3;100000;5;256;128;0.06032;69.5957;1798010
run-length3;100000;5;512;128;0.04096;102.49;1798010
run-length3;100000;5;8;256;0.579584;7.24314;1798010
run-length3;100000;5;16;256;0.301056;13.9443;1798010
run-length3;100000;5;32;256;0.158912;26.4172;1798010
run-length3;100000;5;64;256;0.091904;45.6782;1798010
run-length3;100000;5;128;256;0.058784;71.4142;1798010
run-length3;100000;5;256;256;0.044352;94.6521;1798010
run-length3;100000;5;512;256;0.040448;103.788;1798010
run-length3;100000;5;8;512;0.336288;12.4834;1798010
run-length3;100000;5;16;512;0.17632;23.809;1798010
run-length3;100000;5;32;512;0.100352;41.8328;1798010
run-length3;100000;5;64;512;0.060896;68.9374;1798010
run-length3;100000;5;128;512;0.04096;102.49;1798010
run-length3;100000;5;256;512;0.038912;107.885;1798010
run-length3;100000;5;512;512;0.038912;107.885;1798010
run-length3;100000;5;8;1024;0.236384;17.7593;1798010
run-length3;100000;5;16;1024;0.130368;32.2012;1798010
run-length3;100000;5;32;1024;0.076384;54.9593;1798010
run-length3;100000;5;64;1024;0.045056;93.1732;1798010
run-length3;100000;5;128;1024;0.045376;92.5161;1798010
run-length3;100000;5;256;1024;0.045056;93.1732;1798010
run-length3;100000;5;512;1024;0.045376;92.5161;1798010
run-length3;100000;6;8;16;9.68493;0.407139;1543109
run-length3;100000;6;16;16;3.76218;1.04809;1543109
run-length3;100000;6;32;16;1.9071;2.06759;1543109
run-length3;100000;6;64;16;0.965856;4.0825;1543109
run-length3;100000;6;128;16;0.512128;7.69946;1543109
run-length3;100000;6;256;16;0.27312;14.4373;1543109
run-length3;100000;6;512;16;0.16432;23.9965;1543109
run-length3;100000;6;8;32;4.35994;0.904396;1543109
