kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length;10000;8;64;32;0.068896;5.40203;132178
run-length;10000;8;128;32;0.045216;8.23111;132178
run-length;10000;8;256;32;0.032864;11.3248;132178
run-length;10000;8;512;32;0.018432;20.1919;132178
run-length;10000;8;8;64;0.248864;1.49551;132178
run-length;10000;8;16;64;0.128416;2.89822;132178
run-length;10000;8;32;64;0.067616;5.50429;132178
run-length;10000;8;64;64;0.044544;8.35529;132178
run-length;10000;8;128;64;0.032416;11.4813;132178
run-length;10000;8;256;64;0.019136;19.4491;132178
run-length;10000;8;512;64;0.019232;19.352;132178
run-length;10000;8;8;128;0.130336;2.85553;132178
run-length;10000;8;16;128;0.069632;5.34493;132178
run-length;10000;8;32;128;0.043008;8.65369;132178
run-length;10000;8;64;128;0.032768;11.358;132178
run-length;10000;8;128;128;0.01856;20.0527;132178
run-length;10000;8;256;128;0.01936;19.2241;132178
run-length;10000;8;512;128;0.019968;18.6387;132178
run-length;10000;8;8;256;0.074848;4.97245;132178
run-length;10000;8;16;256;0.046912;7.93354;132178
run-length;10000;8;32;256;0.033216;11.2048;132178
run-length;10000;8;64;256;0.018944;19.6462;132178
run-length;10000;8;128;256;0.02048;18.1728;132178
run-length;10000;8;256;256;0.021696;17.1542;132178
run-length;10000;8;512;256;0.02128;17.4896;132178
run-length;10000;8;8;512;0.0512;7.2691;132178
run-length;10000;8;16;512;0.037824;9.83973;132178
run-length;10000;8;32;512;0.02176;17.1038;132178
run-length;10000;8;64;512;0.020704;17.9761;132178
run-length;10000;8;128;512;0.022464;16.5678;132178
run-length;10000;8;256;512;0.029696;12.5329;132178
run-length;10000;8;512;512;0.028864;12.8942;132178
run-length;10000;8;8;1024;0.051072;7.28732;132178
run-length;10000;8;16;1024;0.026624;13.979;132178
run-length;10000;8;32;1024;0.027072;13.7477;132178
run-length;10000;8;64;1024;0.028256;13.1716;132178
run-length;10000;8;128;1024;0.027808;13.3838;132178
run-length;10000;8;256;1024;0.027968;13.3073;132178
run-length;10000;8;512;1024;0.028672;12.9805;132178
run-length;10000;9;8;16;0.823296;0.443927;125483
run-length;10000;9;16;16;0.423776;0.862444;125483
run-length;10000;9;32;16;0.217792;1.67813;125483
run-length;10000;9;64;16;0.114688;3.18676;125483
run-length;10000;9;128;16;0.062816;5.81831;125483
run-length;10000;9;256;16;0.042784;8.54252;125483
run-length;10000;9;512;16;0.028416;12.8619;125483
run-length;10000;9;8;32;0.501248;0.729146;125483
run-length;10000;9;16;32;0.262368;1.39302;125483
run-length;10000;9;32;32;0.13312;2.74552;125483
run-length;10000;9;64;32;0.073248;4.98967;125483
